0.0,0.0,62,61,39,0,50
0.0,1.0,10,13,12,1,25
1.0,1.0,7,15,9,2,85
1.0,0.0,90,32,31,3,67
0.5,0.5,37,39,28,5,10
0.0,0.5,52,29,56,11,43
0.5,1.0,19,16,18,12,22
0.25,0.5,5,9,10,10,12
0.20298237488621035,0.22287402825896152,26,19,7,6,44
0.125,0.5,32,6,31,14,31
0.0,0.625,66,58,47,22,1
0.5,0.0,20,13,17,25,14
0.0,0.75,15,13,9,30,42
0.08333333333333333,0.6875,15,7,18,31,6
0.25,1.0,26,28,19,42,0
0.1875,0.6122685185185186,13,20,12,43,30
0.375,0.6431187953417334,55,51,52,45,87
0.20337108593858963,0.7439749936357682,9,13,10,29,51
0.2867916237997256,0.5940131013745704,60,36,49,47,54
0.375,0.5052874591276025,13,15,17,50,29
0.10328288429366807,0.8009049568360018,22,20,33,51,5
0.21152041373211666,0.8747494672908955,32,24,91,48,69
0.0,0.875,21,20,17,54,11
0.32089826129419596,0.30410173870580404,89,15,18,44,45
0.3519516738144668,0.80035721511364,17,24,21,67,47
0.125,1.0,19,18,7,68,3
0.31628301439626477,0.4132100737905581,18,16,89,74,75
0.2284840788842788,0.35484442826710155,7,27,26,85,74
0.4517527977075768,0.3642886220691045,19,4,86,87,2
0.0,0.25,17,89,24,69,68
0.25,0.0,22,12,20,75,48
0.375,1.0,33,1,22,x,x
0.44424935171945745,0.8866275880044918,50,53,56,x,x
0.09776072732829365,0.9022392726717063,33,21,25,x,x
0.4573879828387833,0.17969566374363238,28,4,19,x,x
0.6780251061906474,0.2356032278494338,21,33,20,x,x
0.49401838703908013,0.7408731967470032,90,21,24,x,x
0.41548478905000613,0.270798952218841,9,55,7,x,x
0.3288710357480748,0.17577234621341173,21,14,25,x,x
0.5440017361407146,0.2747222697490616,26,23,28,x,x
0.4375,0.08007932086419131,0,42,50,x,x
0.2599336717749818,0.10112398444869998,23,26,27,x,x
0.125,0.0,23,37,28,x,x
0.375,0.0,34,46,39,x,x
0.625,1.0,38,41,40,x,x
0.75,1.0,52,8,27,x,x
0.5484074300117645,0.18372046403839223,37,38,34,x,x
0.75,0.0,41,53,30,x,x
1.0,0.5,36,32,91,x,x
0.625,0.8681376706676213,90,14,21,x,x
0.0,0.125,4,77,86,x,x
0.0,0.375,1,33,25,x,x
0.11119627716704297,0.30905974556395743,8,23,27,x,x
0.1407508182100078,0.11956868922947742,59,46,34,x,x
0.625,0.0,49,81,83,x,x
0.14218842162187012,0.4027883039807271,54,47,58,x,x
0.09297014978742067,0.2091667434383488,70,65,79,x,x
0.6573141375285578,0.4137908169048182,49,45,44,x,x
0.6875,0.10970224189544132,38,37,23,x,x
0.5625,0.08176976798043806,39,37,34,x,x
0.5380527086993437,0.9108938206950267,23,8,38,x,x
0.5505459171436794,0.4055983028152222,43,40,41,x,x
0.6300323653017317,0.3203223964829802,40,11,59,x,x
0.7543010841197804,0.33476630671692287,46,35,39,x,x
0.7535690707031788,0.43289630138800084,62,39,35,x,x
0.8155559673216048,0.5089729492203313,44,60,49,x,x
0.7872473344984913,0.0938756963090525,8,41,38,x,x
0.875,0.0,43,11,40,x,x
1.0,0.25,59,58,46,x,x
1.0,0.375,53,41,8,x,x
0.6789081208063099,0.5570213345045575,41,30,43,x,x
0.8026264482272892,0.21867738483877674,34,40,59,x,x
0.9226016390775537,0.13244918046122317,44,6,60,x,x
0.9065472122733669,0.4791872744888242,38,40,34,x,x
1.0,0.75,7,55,27,x,x
1.0,0.625,57,64,70,x,x
0.5999154041882842,0.49568752528325605,71,63,35,x,x
0.5627448100686521,0.6250949275745938,61,4,28,x,x
0.9019541706642584,0.23029988861772704,42,30,53,x,x
0.7809826294537254,0.6289825695695526,4,61,76,x,x
0.8410656623878585,0.7789418405792536,5,51,55,x,x
0.6230063357691752,0.7391536677820162,55,52,27,x,x
0.6839678716997456,0.6582194412483098,51,29,52,x,x
0.7322279147719029,0.7579959590383804,8,52,56,x,x
0.7657232122979755,0.8771907461607777,50,42,53,x,x
1.0,0.875,55,9,5,x,x
0.47025207734868557,0.6484781562303465,50,56,29,x,x
0.875,1.0,8,56,53,x,x
0.8852871472701549,0.8852871472701548,63,57,62,x,x
0.30031092204624377,0.7124791640150276,57,63,64,x,x
0.31771015446498463,0.9054621562592332,72,3,68,x,x
0.4050729147215754,0.727835389182707,46,58,35,x,x
0.8516882778721668,0.38456050672380426,11,54,59,x,x
0.9221320480674828,0.32219475027906186,58,59,54,x,x
0.8927416918999361,0.590889127226663,6,32,60,x,x
0.9081076892542161,0.6962381588480232,36,60,32,x,x
x,x,39,61,28,x,x
x,x,76,61,57,x,x
x,x,63,62,35,x,x
x,x,61,62,57,x,x
x,x,72,66,67,x,x
x,x,63,92,64,x,x
x,x,65,92,73,x,x
x,x,58,66,71,x,x
x,x,80,74,88,x,x
x,x,36,77,81,x,x
x,x,71,78,93,x,x
x,x,92,71,93,x,x
x,x,70,64,65,x,x
x,x,66,47,67,x,x
x,x,71,35,58,x,x
x,x,94,48,75,x,x
x,x,69,48,73,x,x
x,x,76,77,4,x,x
x,x,72,71,66,x,x
x,x,68,69,93,x,x
x,x,3,72,67,x,x
x,x,78,72,68,x,x
x,x,74,80,95,x,x
x,x,92,65,64,x,x
x,x,94,65,73,x,x
x,x,75,74,95,x,x
x,x,73,48,94,x,x
x,x,57,70,76,x,x
x,x,77,76,70,x,x
x,x,70,79,82,x,x
x,x,77,36,86,x,x
x,x,92,63,71,x,x
x,x,71,72,78,x,x
x,x,79,94,95,x,x
x,x,81,49,36,x,x
x,x,84,80,88,x,x
x,x,84,49,83,x,x
x,x,82,77,70,x,x
x,x,82,79,83,x,x
x,x,83,79,80,x,x
x,x,77,82,81,x,x
x,x,83,80,84,x,x
x,x,81,82,83,x,x
x,x,74,85,88,x,x
x,x,49,84,45,x,x
x,x,2,88,85,x,x
x,x,84,87,45,x,x
x,x,91,86,36,x,x
x,x,86,16,19,x,x
x,x,84,88,87,x,x
x,x,2,87,88,x,x
x,x,89,17,15,x,x
x,x,91,89,16,x,x
x,x,32,90,24,x,x
x,x,14,90,31,x,x
x,x,89,91,24,x,x
x,x,86,91,16,x,x
x,x,69,73,92,x,x
x,x,68,93,78,x,x
x,x,69,92,93,x,x
x,x,79,65,94,x,x
x,x,79,95,80,x,x
x,x,75,95,94,x,x
